candle_end_time,open,high,low,close,amount,info
2021/11/19,46.248,47.508,45.878,47.098,464668,
2021/11/22,46.868,47.108,46.358,46.458,376538,
2021/11/23,46.518,47.068,46.208,46.518,389149,
2021/11/24,46.358,46.668,45.938,46.508,315040,
2021/11/25,46.468,46.468,46.008,46.188,215660,
2021/11/26,45.968,46.218,44.648,44.868,823357,
2021/11/29,44.548,44.868,43.588,44.588,827247,
2021/11/30,44.248,44.618,43.678,44.258,610043,
2021/12/1,44.248,44.968,44.048,44.758,500361,
2021/12/2,44.778,45.768,44.258,45.658,556070,
2021/12/3,45.838,46.048,45.238,46.018,494076,
2021/12/6,46.258,47.168,46.098,46.588,604716,
2021/12/7,47.058,47.348,45.868,46.608,540774,
2021/12/8,46.748,47.048,46.168,46.808,490975,
2021/12/9,47.018,48.608,46.568,47.898,840557,
2021/12/10,47.668,48.258,47.448,48.258,564263,
2021/12/13,48.328,48.968,47.178,47.188,645546,
2021/12/14,47.088,47.268,45.618,45.918,810629,
2021/12/15,45.768,46.108,45.548,45.768,378493,
2021/12/16,45.678,46.068,45.378,45.968,383653,
2021/12/17,45.858,46.168,45.428,45.538,476449,
2021/12/20,45.468,46.068,45.158,45.458,470826,
2021/12/21,45.418,45.758,45.068,45.398,356944,
2021/12/22,45.398,45.518,44.648,44.778,436828,
2021/12/23,44.878,45.028,44.448,44.988,423709,
2021/12/24,44.988,44.988,44.608,44.628,344651,
2021/12/27,44.638,44.828,43.768,44.098,735943,
2021/12/28,44.098,44.568,43.968,44.398,653221,
2021/12/29,44.438,44.488,42.378,42.388,1438903,
2021/12/30,42.658,43.548,42.428,43.268,967917,
2021/12/31,43.308,43.648,43.098,43.478,492935,
2022/1/4,43.478,43.478,42.278,43.118,719606,
2022/1/5,43.258,44.448,43.168,43.818,837174,
2022/1/6,43.588,44.158,42.868,42.918,681867,
2022/1/7,42.908,43.908,42.808,43.818,660737,
2022/1/10,44.238,44.768,43.678,43.998,570936,
2022/1/11,44.258,44.868,43.658,44.618,715617,
2022/1/12,44.638,44.868,43.958,44.528,518411,
2022/1/13,44.618,44.818,43.888,44.108,401408,
2022/1/14,44.238,44.238,42.768,42.788,666571,
2022/1/17,43.138,43.618,42.658,43.348,531808,
2022/1/18,43.418,44.108,43.048,43.778,579077,
2022/1/19,44.238,44.748,43.878,44.468,620280,
2022/1/20,44.648,46.658,44.648,46.138,1386249,
2022/1/21,46.158,46.768,45.978,46.588,858081,
2022/1/24,46.718,46.768,45.798,46.618,638155,
2022/1/25,46.318,46.558,45.468,45.668,583513,
2022/1/26,46.018,46.258,45.368,45.768,436696,
2022/1/27,45.668,45.948,44.888,45.538,529401,
2022/1/28,45.818,45.968,43.918,43.978,715144,
